GEO,EMS
E02000001,4.174663072776281
E02000002,2.0907666869724126
E02000003,1.8734998378203052
E02000004,1.5626307227515683
E02000005,1.8507186566102176
E02000007,1.587923492033081
E02000008,1.9338418324236681
E02000009,2.149870801033592
E02000010,1.6852642918167968
E02000011,1.7715348837209308
E02000012,2.7847653244421644
E02000013,2.079752492265383
E02000014,1.527925850177324
E02000015,1.9320044819248692
E02000016,3.0092592592592586
E02000017,2.6492488569562376
E02000018,1.9135651820215573
E02000019,1.8109290680149737
E02000020,2.5859462078992004
E02000021,1.9255900476688756
E02000022,2.765973592350888
E02000023,2.244506592089493
E02000024,1.7476441876680946
E02000025,1.7780837065295518
E02000026,1.8567864271457082
E02000027,1.624502200090295
E02000028,2.64395653302674
E02000029,1.8696699466994673
E02000030,1.8859325949179653
E02000031,1.957462019660411
E02000032,2.5829596412556053
E02000033,1.8537712918569074
E02000034,1.89258370471946
E02000035,2.107476713657419
E02000036,2.1192919765654215
E02000037,2.531036202409338
E02000038,2.281096623202942
E02000039,2.0659236423998104
E02000040,2.1055452795288967
E02000041,2.623159960745829
E02000042,2.455440029706647
E02000043,2.3027310068040006
E02000044,2.1004803073967344
E02000045,2.871836792721069
E02000046,2.3521314843348744
E02000047,2.215595694553518
E02000048,2.390337611379057
E02000049,1.9536703709500705
E02000050,2.5618716841652462
E02000051,2.5388486140724944
E02000052,3.5357359380262716
E02000053,2.70093045492994
E02000054,2.9047314168640765
E02000055,2.193510324483776
E02000056,3.8153153153153148
E02000057,1.924721984602224
E02000058,2.1224586288416076
E02000059,2.0998247351977444
E02000060,1.7757009345794401
E02000061,2.415605810992961
E02000062,2.916163024949636
E02000063,2.3375993097745984
E02000064,2.49206607535194
E02000065,1.7532152390196551
E02000066,1.597912930050546
E02000067,1.992244727893442
E02000068,2.5641677686230637
E02000069,2.204802852348993
E02000070,1.9603498542274052
E02000071,2.346852309534409
E02000072,2.7002062105773894
E02000073,1.7744489916202049
E02000074,2.6300650004577495
E02000075,2.427264011156628
E02000077,1.6609579769580172
E02000078,2.6062953625181446
E02000079,2.1455463245346515
E02000080,1.5855721621125984
E02000081,2.3285637483975026
E02000082,1.6164783442937503
E02000083,2.655192118676999
E02000084,1.9530571742585372
E02000085,1.893518788401674
E02000086,1.7330726243782562
E02000087,2.650987525987526
E02000088,1.8538801045549982
E02000089,1.6783935758627075
E02000090,1.7607264652232533
E02000091,1.9862354004834213
E02000092,1.9584111160293296
E02000093,3.457515774915723
E02000094,3.4270023536124388
E02000095,2.5364029369381744
E02000096,2.7517954050628797
E02000097,2.6910142416753713
E02000098,2.5057904895595726
E02000099,2.335282876831316
E02000100,2.205192840937736
E02000101,2.4878308083684555
E02000102,2.5494714809000523
E02000103,2.9182298772169166
E02000104,2.269111621864695
E02000105,2.229274352774142
E02000106,2.564242570669244
E02000107,4.328921040480221
E02000108,1.8137299356125876
E02000109,2.1235851142966284
E02000110,3.266577181208054
E02000111,1.7937737634101503
E02000112,1.9618629173989455
E02000113,2.3479348281794397
E02000114,3.0870159453302954
E02000115,4.454390897796378
E02000116,2.555401914049707
E02000117,2.6777860515972134
E02000118,2.094743983717125
E02000119,2.4676008076852476
E02000120,3.556700009903932
E02000121,2.20466825156689
E02000122,3.0660939060939056
E02000123,2.776131147540984
E02000124,2.8697648988518316
E02000125,3.5133789188491806
E02000126,2.5840349044429427
E02000127,1.4520475947149427
E02000128,1.6274408092185706
E02000130,1.293549499827527
E02000131,2.1047213347532834
E02000132,1.4580208727386013
E02000133,1.5904245940790847
E02000134,1.4468403809645867
E02000135,1.7722937495504572
E02000136,1.5013931582448004
E02000137,1.4974443798709527
E02000138,1.515191639278368
E02000139,1.5949243935821116
E02000140,1.380543503911994
E02000141,1.5482654849697408
E02000142,1.6189488339714584
E02000144,1.6148245316668386
E02000145,1.426741888876876
E02000146,1.457562454269886
E02000147,1.4998512347515618
E02000148,1.395300124369968
E02000149,1.298546246225156
E02000150,1.5226160172312508
E02000151,1.3778114762637899
E02000152,1.3670574939963271
E02000153,1.304752703355505
E02000154,1.40365808240341
E02000155,1.2559220665554658
E02000156,1.442002139170064
E02000157,1.5200146003163404
E02000158,1.404246560917472
E02000159,1.4909303686366293
E02000160,1.4542336821046948
E02000161,1.3859042080819908
E02000162,1.4188147907074689
E02000163,1.4467145962213677
E02000165,1.5330747189772977
E02000166,3.652304609218437
E02000167,3.037644877144182
E02000168,3.628465275793084
E02000169,3.175625123055719
E02000170,3.3002905601729857
E02000171,2.593095323464631
E02000172,3.1021535063500827
E02000173,3.5789473684210527
E02000174,2.245562286015275
E02000175,2.70192713461809
E02000176,2.99682755495128
E02000177,2.866345574954846
E02000178,3.5557916425214082
E02000179,2.5305828421741983
E02000180,1.8221574344023317
E02000181,3.2961989840602564
E02000182,3.81411872564749
E02000183,3.0106275869784094
E02000184,1.8245430125139228
E02000185,3.738831615120275
E02000186,2.0329335230737957
E02000187,1.5241671950446274
E02000188,1.8387761232459334
E02000189,1.4647590995160953
